18:03:73:cc:1f:c8,bb136-01
18:03:73:cd:3f:1b,bb136-02
18:03:73:cd:53:52,bb136-03
18:03:73:cc:01:bb,bb136-04
18:03:73:cd:4c:3a,bb136-05
18:03:73:d5:e7:c3,bb136-06
18:03:73:d5:e8:4d,bb136-07
18:03:73:d5:55:b5,bb136-08
18:03:73:d5:e8:6f,bb136-09
18:03:73:cd:56:43,bb136-10
18:03:73:d5:e9:5a,bb136-11
18:03:73:cd:5a:98,bb136-12
18:03:73:cd:5b:cd,bb136-13
18:03:73:d5:e9:04,bb136-14
18:03:73:d5:e9:8c,bb136-15
18:03:73:d5:e8:ad,bb136-16
18:03:73:cd:5c:34,bb136-17
18:03:73:cc:53:0f,bb136-19
18:03:73:d5:e9:66,bb136-20
18:03:73:d5:e8:b6,bb136-21
18:03:73:d5:a8:d5,bb136-22
18:03:73:cc:06:fa,bb136-23
18:03:73:cd:59:f0,bb136-24
f8:b1:56:c8:2c:dd,minion
